 t              planeWave_Unnamed_point_outRq_Ey_50_50_50.dat       incid
     0.60856331174364E-006     0.35139775533821E-008     0.00000000000000E+000
     0.61241496496223E-006    -0.81750339830933E-009     0.00000000000000E+000
     0.61626667502424E-006    -0.22225329132652E-007     0.00000000000000E+000
     0.62011832824282E-006    -0.23113452485291E-007     0.00000000000000E+000
     0.62396998146141E-006     0.75206845195908E-008     0.00000000000000E+000
     0.62782163468000E-006     0.22121781739770E-007     0.00000000000000E+000
     0.63167328789859E-006    -0.69870385033255E-008     0.00000000000000E+000
     0.63552499796060E-006    -0.33173066071868E-007     0.00000000000000E+000
     0.63937665117919E-006    -0.12371231150610E-007     0.00000000000000E+000
     0.64322830439778E-006     0.19387670135984E-007     0.00000000000000E+000
     0.64707995761637E-006     0.70631935855658E-008     0.00000000000000E+000
     0.65093166767838E-006    -0.28068630086864E-007     0.00000000000000E+000
     0.65478332089697E-006    -0.23357603851082E-007     0.00000000000000E+000
     0.65863497411556E-006     0.16462198715317E-007     0.00000000000000E+000
     0.66248662733415E-006     0.21281627127223E-007     0.00000000000000E+000
     0.66633833739616E-006    -0.24146805444047E-007     0.00000000000000E+000
     0.67018999061474E-006    -0.44113882324837E-007     0.00000000000000E+000
     0.67404164383333E-006    -0.57805493725027E-009     0.00000000000000E+000
     0.67789329705192E-006     0.32704910779557E-007     0.00000000000000E+000
     0.68174495027051E-006     0.44754600025954E-009     0.00000000000000E+000
     0.68559666033252E-006    -0.32407051264727E-007     0.00000000000000E+000
     0.68944831355111E-006    -0.69102590316561E-008     0.00000000000000E+000
     0.69329996676970E-006     0.18598838025241E-007     0.00000000000000E+000
     0.69715161998829E-006    -0.10058869293061E-007     0.00000000000000E+000
     0.70100333005030E-006    -0.36644070888769E-007     0.00000000000000E+000
     0.70485498326889E-006    -0.92910674709401E-008     0.00000000000000E+000
     0.70870663648748E-006     0.23586629538386E-007     0.00000000000000E+000
     0.71255828970607E-006     0.92434033760469E-008     0.00000000000000E+000
     0.71640999976808E-006    -0.25444695239685E-007     0.00000000000000E+000
     0.72026165298666E-006    -0.29848767013618E-007     0.00000000000000E+000
     0.72411330620525E-006     0.21260149196678E-008     0.00000000000000E+000
     0.72796495942384E-006     0.28162746801286E-007     0.00000000000000E+000
     0.73181666948585E-006     0.47887684928583E-008     0.00000000000000E+000
     0.73566832270444E-006    -0.40313082649845E-007     0.00000000000000E+000
     0.73951997592303E-006    -0.31973137026853E-007     0.00000000000000E+000
     0.74337162914162E-006     0.19126417782900E-007     0.00000000000000E+000
     0.74722328236021E-006     0.21671514360833E-007     0.00000000000000E+000
     0.75107499242222E-006    -0.22928073661888E-007     0.00000000000000E+000
     0.75492664564081E-006    -0.22295978396869E-007     0.00000000000000E+000
     0.75877829885940E-006     0.17364779836271E-007     0.00000000000000E+000
     0.76262995207799E-006     0.71069443663418E-008     0.00000000000000E+000
     0.76648166214000E-006    -0.37039495026647E-007     0.00000000000000E+000
     0.77033331535858E-006    -0.28902222837246E-007     0.00000000000000E+000
     0.77418496857717E-006     0.17150464159954E-007     0.00000000000000E+000
     0.77803662179576E-006     0.27091340726315E-007     0.00000000000000E+000
     0.78188833185777E-006    -0.14068941567302E-008     0.00000000000000E+000
     0.78573998507636E-006    -0.27248782785705E-007     0.00000000000000E+000
     0.78959163829495E-006    -0.31756226093194E-007     0.00000000000000E+000
     0.79344329151354E-006    -0.98233314815843E-008     0.00000000000000E+000
     0.79729500157555E-006     0.18818420599587E-007     0.00000000000000E+000
